other_cos-45.4	:957
appear-48.1.1	:770
characterize-29.2-1	:623
new	:572
end	:458
escape-51.1-2	:448
convert-26.6.2	:400
u.s.	:399
bring-11.3	:390
rise	:385
murder-42.1-1	:381
amuse-31.1	:360
price	:358
fall	:346
calibratable_cos-45.6-1	:344
win	:339
begin-55.1-1	:338
contribute-13.2-1	:326
exist-47.1-1	:324
indicate-78-1	:305
die	:302
near	:294
hit	:291
do	:266
fire	:256
continue-55.3	:252
ferret-35.6	:250
plan	:243
dollar	:243
start	:242
dow	:240
stocks	:239
s	:231
talks	:228
mets	:224
have	:224
bush	:215
death	:213
fear	:209
city	:198
turn	:197
get-13.5.1	:195
war	:194
escape-51.1-1	:194
police	:193
move	:189
judgement-33	:189
cut	:188
gain	:186
strike	:183
vote	:180
look	:180
face	:179
big	:179
open	:177
admire-31.2	:177
life	:174
hope	:166
net	:166
drop	:165
show	:163
attack	:162
home	:161
hold	:159
trial	:159
school	:157
try	:156
man	:156
neglect-75-1-1	:154
contiguous_location-47.8-1	:152
battle	:150
report	:150
knicks	:150
give-13.1-1	:150
iraq	:149
state	:149
set	:148
declare-29.4-1-1-2	:147
build-26.1-1	:146
job	:145
change	:143
chief	:142
lead	:141
oil	:139
storm	:138
day	:137
hurt	:136
market	:135
delay	:134
drug	:134
crash	:134
debate	:134
protest	:132
return	:132
rally	:130
keep-15.2	:129
complete-55.2	:129
case	:129
trade	:128
play	:128
way	:128
giant	:128
correspond-36.1	:128
time	:127
run	:127
jet	:126
budget	:126
yank	:126
preparing-26.3-1	:125
run-51.3.2	:125
question	:125
car	:124
new_york	:123
game	:122
loss	:122
deal	:122
await	:121
fight	:121
call	:121
sales	:120
yankee	:119
official	:118
first	:118
issue	:117
top	:117
house	:112
clinton	:111
race	:111
surge	:111
close	:110
modes_of_being_with_motion-47.3	:110
ranger	:110
election	:110
woman	:110
test	:109
court	:109
victory	:108
record	:108
characterize-29.2	:107
charge	:106
high	:105
clash	:105
devil	:104
party	:104
inquiry	:103
obtain-13.5.2	:103
season	:102
investor	:102
share	:101
characterize-29.2-1-1	:101
leader	:101
break	:100
bond	:100
decline	:99
put-9.1	:99
become	:98
rates	:98
remove-10.1	:95
heat	:95
force	:93
tax	:93
bill	:92
power	:92
help	:92
world	:91
rule	:91
officer	:91
child	:90
family	:89
president	:89
dead	:89
point	:89
arrest	:88
rebel	:88
israeli	:88
suspect	:88
role	:87
good	:87
train	:87
china	:86
bomb	:86
concern	:86
appoint-29.1	:86
trader	:86
send-11.1-1	:86
carry-11.4	:85
violence	:85
beat	:85
work	:84
air	:84
Synset('person.n.01')	:84
shot	:84
crane-40.3.2	:84
cheat-10.6-1	:83
worker	:83
gold	:83
sign	:82
u.n.	:82
treasury	:82
struggle	:81
hurt-40.8.3-2	:81
use	:81
defeat	:80
entity_specific_cos-45.5	:80
star	:80
seem	:80
town	:80
japan	:79
rival	:78
worry	:78
campaign	:78
democrat	:78
union	:77
loom	:77
stock	:77
head	:77
post	:76
increase	:76
wish-62	:76
reach	:76
economy	:75
group	:75
contiguous_location-47.8	:75
tie	:75
crisis	:75
assuming_position-50	:74
security	:74
american	:74
climb	:74
israel	:74
collapse	:73
senate	:73
red	:73
law	:73
draw	:73
wait	:73
pay	:73
bus	:73
focus	:73
team	:72
west	:72
line	:72
deadline	:72
aids	:72
fed	:72
offer	:71
south	:71
pick	:71
discover-84-1-1	:71
aid	:70
injury	:70
iraqi	:70
killing	:70
put-9.1-2	:70
plunge	:70
control	:69
watch	:69
week	:69
peace	:69
troops	:68
visit	:68
search	:68
coach	:68
effort	:67
bid	:66
business	:66
fill-9.8	:65
tv	:65
