appear-48.1.1	:1373
other_cos-45.4	:1130
calibratable_cos-45.6-1	:1071
amuse-31.1	:948
Synset('activity.n.01')	:771
characterize-29.2-1	:654
get-13.5.1	:642
convert-26.6.2	:600
Synset('person.n.01')	:591
Synset('happening.n.01')	:570
exist-47.1-1	:545
Synset('time_period.n.01')	:531
begin-55.1-1	:490
escape-51.1-2	:463
Synset('military_action.n.01')	:452
murder-42.1-1	:398
bring-11.3	:390
stop-55.4-1	:387
Synset('value.n.02')	:360
Synset('discussion.n.02')	:355
contribute-13.2-1	:352
Synset('force.n.04')	:322
indicate-78-1	:305
conjecture-29.5-1	:299
escape-51.1-1	:299
near	:294
admire-31.2	:289
Synset('adult.n.01')	:287
crane-40.3.2	:287
Synset('municipality.n.01')	:278
Synset('change.n.01')	:272
battle-36.4-1	:270
do	:258
judgement-33	:258
Synset('emotion.n.01')	:254
Synset('monetary_unit.n.01')	:253
Synset('american.n.01')	:253
continue-55.3	:252
ferret-35.6	:250
Synset('framework.n.03')	:245
bump-18.4	:244
Synset('income.n.01')	:240
dow	:240
build-26.1-1	:234
s	:231
Synset('indefinite_quantity.n.01')	:228
run-51.3.2	:225
mets	:224
have	:224
fill-9.8	:222
Synset('noise.n.01')	:221
Synset('idea.n.01')	:221
Synset('legal_document.n.01')	:220
Synset('collection.n.01')	:215
peer-30.3	:214
Synset('attempt.n.01')	:211
disappearance-48.2	:210
Synset('organization.n.01')	:209
Synset('woody_plant.n.01')	:205
Synset('property.n.02')	:203
Synset('leader.n.01')	:202
Synset('structure.n.01')	:192
Synset('gathering.n.01')	:192
Synset('motor_vehicle.n.01')	:189
Synset('assets.n.01')	:189
Synset('computer_network.n.01')	:188
Synset('choice.n.02')	:188
Synset('unit.n.03')	:187
Synset('ill_health.n.01')	:184
Synset('content.n.05')	:184
Synset('politician.n.02')	:184
Synset('commerce.n.01')	:181
Synset('contestant.n.01')	:176
Synset('being.n.01')	:176
Synset('building.n.01')	:171
declare-29.4-1-1-2	:170
contiguous_location-47.8-1	:166
Synset('administrative_district.n.01')	:164
Synset('residence.n.01')	:161
contiguous_location-47.8	:161
Synset('ending.n.04')	:160
conjecture-29.5-2	:159
Synset('educational_institution.n.01')	:158
Synset('atmospheric_phenomenon.n.01')	:156
braid-41.2.2	:156
Synset('body.n.02')	:154
neglect-75-1-1	:154
force-59	:153
Synset('public_transport.n.01')	:151
Synset('quality.n.01')	:151
knicks	:150
give-13.1-1	:150
Synset('skilled_worker.n.01')	:147
Synset('natural_object.n.01')	:147
Synset('propulsion.n.02')	:146
Synset('juvenile.n.01')	:145
Synset('time_unit.n.01')	:145
Synset('federal_government.n.01')	:144
Synset('lipid.n.01')	:144
Synset('fund.n.01')	:143
Synset('airplane.n.01')	:142
Synset('operation.n.05')	:142
Synset('contest.n.01')	:142
Synset('cube.n.05')	:142
Synset('season.n.02')	:141
iraq	:140
wish-62	:140
meet-36.3-1	:139
Synset('inhabitant.n.01')	:139
Synset('legislature.n.01')	:138
Synset('tract.n.01')	:135
Synset('animal.n.01')	:135
Synset('agent.n.03')	:134
correspond-36.1	:131
keep-15.2	:130
Synset('anticipation.n.01')	:130
Synset('document.n.01')	:130
Synset('share.n.01')	:129
complete-55.2	:129
Synset('pause.n.01')	:129
Synset('region.n.01')	:128
Synset('emergence.n.01')	:127
Synset('case.n.01')	:127
preparing-26.3-1	:125
characterize-29.2	:124
Synset('condition.n.01')	:124
Synset('lawman.n.01')	:123
meander-47.7	:123
new_york	:123
Synset('transferred_property.n.01')	:122
await	:121
Synset('speech_act.n.01')	:121
Synset('transaction.n.01')	:121
Synset('job_action.n.01')	:121
Synset('attack.n.01')	:120
Synset('danger.n.03')	:119
consume-66	:118
modes_of_being_with_motion-47.3	:116
Synset('merchant.n.01')	:116
Synset('asian.n.01')	:116
appoint-29.1	:115
Synset('objection.n.02')	:115
accompany-51.7	:115
Synset('serviceman.n.01')	:114
build-26.1	:113
admire-31.2-1	:112
Synset('vote.n.02')	:112
clinton	:111
Synset('extremity.n.04')	:110
animal_sounds-38	:109
Synset('instrumentality.n.03')	:108
Synset('fear.n.01')	:108
Synset('work.n.01')	:108
Synset('situation.n.03')	:107
search-35.2	:107
Synset('evidence.n.02')	:106
Synset('problem_solving.n.02')	:106
Synset('capitalist.n.02')	:104
devil	:104
Synset('formation.n.01')	:104
Synset('system.n.02')	:104
Synset('assembly.n.04')	:104
linger-53.1-1	:103
obtain-13.5.2	:103
Synset('information.n.01')	:102
bill-54.5	:102
assuming_position-50	:101
characterize-29.2-1-1	:101
Synset('attraction.n.01')	:100
forbid-67	:99
put-9.1	:99
Synset('tax.n.01')	:98
become	:98
Synset('experiment.n.02')	:98
Synset('large_indefinite_quantity.n.01')	:97
Synset('journey.n.01')	:96
Synset('state.n.02')	:95
Synset('questioning.n.01')	:95
remove-10.1	:95
Synset('corporate_executive.n.01')	:94
Synset('gas.n.02')	:93
send-11.1-1	:93
Synset('traveler.n.01')	:92
Synset('levy.n.01')	:92
Synset('message.n.02')	:92
Synset('beginning.n.01')	:92
contribute-13.2-2	:91
future_having-13.3	:91
hurt-40.8.3-2	:91
Synset('broadcasting.n.02')	:90
Synset('duty.n.02')	:90
Synset('written_agreement.n.01')	:89
Synset('device.n.01')	:89
Synset('physical_phenomenon.n.01')	:89
Synset('unfortunate.n.01')	:88
Synset('body_of_water.n.01')	:88
help-72-1	:87
Synset('point.n.06')	:87
china	:86
Synset('area.n.01')	:86
Synset('aggression.n.03')	:85
Synset('nonaccomplishment.n.01')	:85
carry-11.4	:85
Synset('approval.n.04')	:85
Synset('professional.n.01')	:85
cheat-10.6-1	:84
Synset('administrative_unit.n.01')	:84
Synset('interest.n.01')	:83
Synset('precipitation.n.03')	:83
Synset('funds.n.01')	:82
chase-51.6	:82
Synset('precious_metal.n.01')	:81
entity_specific_cos-45.5	:81
Synset('container.n.01')	:81
break-45.1	:81
Synset('external_body_part.n.01')	:80
Synset('geological_phenomenon.n.01')	:80
Synset('confederate_soldier.n.01')	:80
seem	:80
Synset('difficulty.n.03')	:79
Synset('advantage.n.01')	:79
Synset('race.n.01')	:78
Synset('time.n.05')	:78
Synset('explosive_device.n.01')	:78
Synset('influence.n.01')	:77
Synset('act.n.02')	:77
Synset('component.n.01')	:77
Synset('point.n.02')	:77
Synset('capital.n.01')	:76
Synset('gossip.n.02')	:76
Synset('military_service.n.01')	:76
Synset('celestial_body.n.01')	:76
Synset('gregorian_calendar_month.n.01')	:75
Synset('abstraction.n.06')	:75
discover-84-1-1	:75
Synset('plan_of_action.n.01')	:74
Synset('safety.n.01')	:74
Synset('insufficiency.n.03')	:74
Synset('disorder.n.03')	:74
israel	:74
chew-39.2-1	:73
japan	:73
banish-10.2	:73
Synset('change_of_location.n.01')	:73
put-9.1-2	:73
dub-29.3	:72
Synset('slope.n.01')	:71
Synset('agent.n.05')	:71
Synset('woman.n.01')	:71
u.n.	:71
Synset('symptom.n.01')	:71
Synset('concept.n.01')	:71
throw-17.1-1	:70
Synset('feeling.n.01')	:70
Synset('power.n.01')	:70
dress-41.1.1	:69
Synset('order.n.03')	:69
Synset('large_integer.n.01')	:68
characterize-29.2-1-2	:68
Synset('administrator.n.01')	:68
Synset('bodily_process.n.01')	:68
investigate-35.4	:68
Synset('heavier-than-air_craft.n.01')	:68
Synset('group_action.n.01')	:67
Synset('cyclone.n.02')	:67
Synset('position.n.01')	:67
Synset('immunodeficiency.n.01')	:67
Synset('enterprise.n.02')	:66
Synset('sphere.n.05')	:66
entity_specific_modes_being-47.2	:66
Synset('conflict.n.01')	:66
Synset('european.n.01')	:65
Synset('creator.n.02')	:65
Synset('disturbance.n.03')	:65
Synset('substance.n.07')	:65
Synset('judgment.n.03')	:64
Synset('disagreement.n.03')	:64
found	:64
Synset('illness.n.01')	:64
butter-9.9	:64
Synset('object.n.01')	:64
Synset('civil_authority.n.01')	:64
Synset('creation.n.02')	:64
cooperate-73-3	:63
Synset('strain.n.04')	:63
Synset('adjudicator.n.01')	:63
Synset('statement.n.01')	:63
Synset('parent.n.01')	:63
europe	:62
florida	:62
Synset('people.n.01')	:62
Synset('examination.n.01')	:62
Synset('promotion.n.01')	:61
g.o.p.	:61
Synset('succession.n.02')	:61
murder-42.1	:61
Synset('enrollee.n.01')	:60
Synset('improvement.n.02')	:60
Synset('group.n.01')	:60
nonvehicle-51.4.2	:60
Synset('selling.n.01')	:60
Synset('capture.n.01')	:60
bronx	:60
Synset('mercantile_establishment.n.01')	:59
Synset('region.n.03')	:59
Synset('sheet.n.06')	:59
Synset('decision.n.01')	:59
force-59-1	:58
transfer_mesg-37.1.1	:58
Synset('thief.n.01')	:58
Synset('possibility.n.02')	:58
texas	:58
cooperate-73-1	:58
west	:57
cooking-45.3	:57
